R1;Identificador;Identificador plan inversión;Padre;Denominación tramo;Número;Acometida;Código acometida;Tensión explotación (kV);Tensión construcción (kV);Longitud calculada (m);Longitud real (m);Situación;Tipo fase;Fase;Conductor;Sección del conductor (mm2);Intensidad máxima (A);Capacidad máxima (kVA);Capacidad calculada (kVA);Resistencia (Ω);Reactancia (Ω);Nº circuitos;Nº conductores;Fecha APM;Fecha baja;Fecha cesión;Fecha última inversión;Propiedad;% Financiado;Coordenada X inicio;Coordenada Y inicio;Coordenada Z inicio;Coordenada X fin;Coordenada Y fin;Coordenada Z fin;Nudo inicio;Nudo fin;CT AA;CCAA inicio;CCAA fin;Municipio;Provincia;Parroquia/población;Punto frontera;Titular;Expediente/CIE;Observaciones;Arqueta/apoyo Inicio;Arqueta/apoyo Fin;Nº segmentos;Borrado;Coordenada X inicio Z29;Coordenada Y inicio Z29;Coordenada X fin Z29;Coordenada Y fin Z29;Coordenada X inicio Z31;Coordenada Y inicio Z31;Coordenada X fin Z31;Coordenada Y fin Z31;Sustituye a;Sustituido por;Inspección;Excluido conectividad;Digitalizar;Presentar retribución
R1-112;'112.BTV.D100000633;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 135-136;'135-136;No;;0,4;0,4;2,23606798;2,236;Fachada;Trifásico;;RZ 4X50 AL;50;150;103,92304845;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335513,355;4082787,0472;438;335512,355;4082789,0466;438;0484559613LB368767226;0484560778LB368767405;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870329,8965;4089261,9298;870328,7713;4089263,865;-199808,8258;4110052,9868;-199809,7026;4110055,057;;;;;;
R1-112;'112.BTV.D100000795;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 53-AC1;'53-AC1;Sí;112-02804038;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335536,355;4082707,0447;451;335535,355;4082707,0451;451;0484532084LB368760058;0484533205LB368760057;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870357,9175;4089183,4247;870356,9181;4089183,3623;-199790,8201;4109971,228;-199791,8237;4109971,292;;;;;;
R1-112;'112.BTV.D100000650;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 147-AC2;'147-AC2;Sí;112-02804105;0,4;0,4;13,92838828;14,491;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335529,355;4082799,0464;438;335516,355;4082794,0469;438;0484541929LB368768335;0484556400LB368767862;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870345,1313;4089274,9286;870332,4541;4089269,114;-199792,0048;4110064,0146;-199805,3704;4110059,822;;;;;;
R1-112;'112.BTV.6307224735;;'112.LBT.6307224615;LP94 CALLE CERRILLO, CALLE CASTAÑA Vano: 9-10;'9-10;No;;0,4;0,42;1,0864833200000001;3,8;Fachada;Trifásico;;RV 3X240 /150;240;410;284,05633244;;0,075;0,08;1;Simplex;29/10/2020, 0:00:00;;;;Propio;0;335538,91;4082630,2133;476;335538,124;4082629,4638;476;0484527553LB368753140;0484528418LB368753071;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870365,3064;4089106,8021;870364,5681;4089106,0035;-199793,1335;4109893,9502;-199793,97;4109893,2478;;;;;;
R1-112;'112.BTV.D100000780;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 28-AC2;'28-AC2;Sí;112-02804019;0,4;0,4;3,16227766;4,359;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335528,3541;4082633,0456;454;335527,354;4082636,045;454;0484539452LB368753377;0484540639LB368753646;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870354,5788;4089108,9682;870353,3906;4089111,9028;-199803,5487;4109897,4632;-199804,362;4109900,5371;;;;;;
R1-112;'112.BTV.D100000129;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 89-AC2;'89-AC2;Sí;112-02802072;0,4;0,4;1;1;Fachada;Trifásico;;LC 4X80;91,58;330,3;228,8385527;;0,3;0,38;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335719,355;4082836,0433;430;335719,355;4082835,0433;430;0484329644LB368772000;0484329622LB368771909;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870532,6846;4089323,8611;870532,7475;4089322,8617;-199598,9532;4110089,0852;-199599,0167;4110088,0815;;;;;;
R1-112;'112.BTV.D100000698;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 173-174;'173-174;No;;0,4;0,4;5,83095189;7,681;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335430,355;4082684,0468;443;335425,355;4082681,0469;443;0484650463LB368757801;0484656006LB368757522;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870253,4309;4089153,7697;870248,6229;4089150,4571;-199898,6725;4109954,8748;-199903,8814;4109952,1813;;;;;;
R1-112;'7801057586308899688;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA *Vano: 59-60;'59-60;No;;0,4;0,4;5,8989583;5,9;Fachada;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335549,958;4082689,4386;456;335552,355;4082684,0448;456;0484516446LB368758496;0484513641LB368758014;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870372,6201;4089166,6858;870375,355;4089161,4462;-199778,2845;4109952,6932;-199776,2211;4109947,1273;;;;;;
R1-112;'112.BTV.D100000412;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 45-56;'45-56;No;;0,4;0,4;5;5;Aérea;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335538,355;4082702,0448;451;335543,355;4082702,0447;451;0484529732LB368759611;0484524125LB368759620;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;112.APO.SG000399888;1;;870360,2309;4089178,5539;870365,2277;4089178,8685;-199789,1301;4109966,0827;-199784,1117;4109965,7651;;;;;;
R1-112;'112.BTV.D100000130;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 78-90;'78-90;No;;0,4;0,4;3,6110521999999996;3,606;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335661,355;4082867,044;424;335658,355;4082869,0454;424;0484395364LB368774692;0484398772LB368774867;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.APO.SG000400007;;1;;870472,7694;4089351,192;870469,6453;4089353,0033;-199655,1995;4110123,883;-199658,0835;4110126,0822;;;;;;
R1-112;'112.BTV.D100000295;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 196-201;'196-201;No;;0,4;0,4;3,04070321;3,606;Aérea;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335661,355;4082780,0445;457;335663,729;4082781,9365;457;0484393479LB368766853;0484390857LB368767028;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.APO.SG000400006;;1;;870478,2452;4089264,2465;870480,4986;4089266,2868;-199660,723;4110036,5617;-199658,2202;4110038,31;;;;;;
R1-112;'112.BTV.D100000607;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 121-AC1;'121-AC1;Sí;112-02804088;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335492,355;4082781,047;439;335492,355;4082780,047;439;0484583035LB368766649;0484583013LB368766559;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870309,2872;4089254,6116;870309,3502;4089253,6123;-199830,2845;4110048,2977;-199830,348;4110047,294;;;;;;
R1-112;'112.BTV.D100000704;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 159-179;'159-179;No;;0,4;0,4;3,4613661700000002;4,243;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 1:00:00;;;9/2/1995, 1:00:00;Propio;90;335454,844;4082696,6653;438;335457,355;4082699,0474;438;0484623273LB368758981;0484620508LB368759200;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870277,1105;4089167,9216;870279,47;4089170,4603;-199873,2917;4109965,9852;-199870,6201;4109968,2167;;;;;;
R1-112;'112.BTV.D100000053;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 49-AC1;'49-AC1;Sí;112-02802036;0,4;0,4;2,82842712;2,8280000000000003;Subterránea;Monofásico;;MANGUERA CU(2X6);6;114,3;'79,18936292000001;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335749,355;4082765,0418;430;335751,355;4082763,042;430;0484294461LB368765655;0484292175LB368765478;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556547;;1;;870567,1348;4089254,7918;870569,2594;4089252,9191;-199573,3502;4110015,9165;-199571,4697;4110013,7823;;;;;;
R1-112;'112.BTV.D100000539;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 83-AC1;'83-AC1;Sí;112-02804059;0,4;0,4;1,4149208500000001;3,317;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335506,355;4082659,0461;449;335505,354;4082658,0466;449;0484564688LB368755681;0484565789LB368755590;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870330,957;4089133,5679;870330,0196;4089132,506;-199823,9785;4109924,9565;-199825,0466;4109924,0169;;;;;;
R1-112;'112.BTV.D100000124;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 87-AC1;'87-AC1;Sí;112-02802069;0,4;0,4;1,0001;1;Fachada;Monofásico;;MANGUERA (2X2.5);2,5;31,7;21,962404239999998;;8,21;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335708,355;4082841,0427;430;335708,355;4082840,0427;430;0484342089LB368772431;0484342067LB368772341;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870521,3767;4089328,165;870521,4397;4089327,1657;-199609,6765;4110094,8015;-199609,74;4110093,7978;;;;;;
R1-112;'112.BTV.D100000566;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 97-AC1;'97-AC1;Sí;112-02804071;0,4;0,4;1,00000001;1;Fachada;Monofásico;;MANGUERA CU(2X6);6;114,3;'79,18936292000001;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335491,355;4082698,0457;439;335490,355;4082698,0462;439;0484582356LB368759169;0484583477LB368759167;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870313,5119;4089171,5991;870312,5125;4089171,5367;-199836,5579;4109965,0527;-199837,5616;4109965,1167;;;;;;
R1-112;'112.BTV.D100000634;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 136-137;'136-137;No;;0,4;0,4;3,16227766;3,162;Fachada;Trifásico;;RZ 4X50 AL;50;150;103,92304845;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335512,355;4082789,0466;438;335515,355;4082790,0474;438;0484560778LB368767405;0484557435LB368767500;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870328,7713;4089263,865;870331,7064;4089265,054;-199809,7026;4110055,057;-199806,628;4110055,8711;;;;;;
R1-112;'112.BTV.D100000631;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 120-134;'120-134;No;;0,4;0,4;8;8;Aérea;Trifásico;;RZ 4X50 AL;50;150;103,92304845;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335501,355;4082785,0472;438;335509,355;4082785,0468;438;0484573028LB368767025;0484564056LB368767039;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;112.APO.SG000399849;1;;870318,0299;4089259,1758;870326,0249;4089259,6789;-199820,9972;4110051,7413;-199812,9677;4110051,233;;;;;;
R1-112;'112.BTV.D100000691;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 170-171;'170-171;No;;0,4;0,4;7,61577311;7,616;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335444,355;4082691,0468;438;335437,355;4082688,0468;438;0484634914LB368758457;0484642700LB368758174;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870266,9817;4089161,6465;870260,1748;4089158,2078;-199884,1762;4109961,0119;-199891,3926;4109958,4452;;;;;;
R1-112;'112.BTV.D100000378;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 25-26;'25-26;No;;0,4;0,4;5,38145891;5,385;Fachada;Monofásico;;MANGUERA CU(2X6);6;114,3;'79,18936292000001;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335541,354;4082632,0451;457;335536,354;4082630,0452;457;0484524851LB368753310;0484530415LB368753121;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870367,6336;4089108,7865;870362,7626;4089106,4732;-199790,5642;4109895,6336;-199795,7096;4109893,9437;;;;;;
R1-112;'112.BTV.D100000163;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 97-107;'97-107;No;;0,4;0,4;1,41421356;1,4140000000000001;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335632,356;4082895,0452;419;335631,356;4082896,0456;419;0484428493LB368777164;0484429637LB368777253;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870442,026;4089377,3505;870440,9636;4089378,2874;-199682,5279;4110153,8288;-199683,4681;4110154,8965;;;;;;
