R1;Identificador;Identificador plan inversión;Padre;Denominación tramo;Número;Acometida;Código acometida;Tensión explotación (kV);Tensión construcción (kV);Longitud calculada (m);Longitud real (m);Situación;Tipo fase;Fase;Conductor;Sección del conductor (mm2);Intensidad máxima (A);Capacidad máxima (kVA);Capacidad calculada (kVA);Resistencia (Ω);Reactancia (Ω);Nº circuitos;Nº conductores;Fecha APM;Fecha baja;Fecha cesión;Fecha última inversión;Propiedad;% Financiado;Coordenada X inicio;Coordenada Y inicio;Coordenada Z inicio;Coordenada X fin;Coordenada Y fin;Coordenada Z fin;Nudo inicio;Nudo fin;CT AA;CCAA inicio;CCAA fin;Municipio;Provincia;Parroquia/población;Punto frontera;Titular;Expediente/CIE;Observaciones;Arqueta/apoyo Inicio;Arqueta/apoyo Fin;Nº segmentos;Borrado;Coordenada X inicio Z29;Coordenada Y inicio Z29;Coordenada X fin Z29;Coordenada Y fin Z29;Coordenada X inicio Z31;Coordenada Y inicio Z31;Coordenada X fin Z31;Coordenada Y fin Z31;Sustituye a;Sustituido por;Inspección;Excluido conectividad;Digitalizar;Presentar retribución
R1-112;'112.BTV.D100000392;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 22-36;'22-36;No;;0,4;0,4;18,60107524;18,601;Fachada;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335553,354;4082640,0441;459;335568,354;4082651,0439;459;0484511567LB368754051;0484494983LB368755068;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870379,1227;4089117,5357;870393,4211;4089129,4728;-199778,012;4109902,9003;-199762,2581;4109912,9885;;;;;;
R1-112;'112.BTV.D100000347;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 252-253;'252-253;No;;0,4;0,4;2,23606798;2,236;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335551,356;4082852,0466;431;335549,356;4082853,0464;431;0484518404LB368773149;0484520669LB368773236;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870363,7828;4089329,2805;870361,7211;4089330,1538;-199766,5575;4110115,814;-199768,5014;4110116,9445;;;;;;
R1-112;'112.BTV.D100000016;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 28-29;'28-29;No;;0,4;0,4;5,65685425;5,657;Subterránea;Trifásico;;RV 4X50 AL;50;120;83,13843876;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335755,355;4082808,0416;431;335751,355;4082804,0423;431;0484288663LB368769539;0484293063LB368769172;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556552;112.ARQ.SG000556549;1;;870570,4247;4089298,1426;870566,6788;4089293,894;-199564,5979;4110058,6944;-199568,8667;4110054,9342;;;;;;
R1-112;'112.BTV.D100000308;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 213-214;'213-214;No;;0,4;0,4;7,21110255;7,211;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335597,355;4082835,0452;440;335601,355;4082829,0455;440;0484466447LB368771697;0484461831LB368771164;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870410,8232;4089315,1849;870415,1983;4089309,4407;-199721,4678;4110095,8292;-199717,8339;4110089,5534;;;;;;
R1-112;'112.BTV.D100000221;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 137-AC1;'137-AC1;Sí;112-02802116;0,4;0,4;2;2;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335565,356;4082889,047;419;335565,356;4082887,047;419;0484503505LB368776507;0484503462LB368776327;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870375,4452;4089367,1391;870375,5711;4089365,1403;-199750,1565;4110152,0624;-199750,2835;4110150,055;;;;;;
R1-112;'112.BTV.D100000191;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 121-122;'121-122;No;;0,4;0,4;5,65685425;5,657;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335615,356;4082901,0463;420;335619,356;4082897,0456;420;0484447689LB368777675;0484443116LB368777322;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870424,6588;4089382,2779;870428,9082;4089378,5314;-199699,2097;4110160,9315;-199695,4489;4110156,662;;;;;;
R1-112;'112.BTV.T100000091;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 47-AC2;'47-AC2;Sí;112-04405042;0,4;0,4;2,23597854;2,236;Subterránea;Monofásico;;MANGUERA CU(2X16);16;177,8;123,18345343;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335764,355;4082783,042;430;335763,355;4082781,0424;430;0484278028LB368767302;0484279107LB368767121;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556563;;1;;870580,9926;4089273,7249;870580,1191;4089271,6636;-199557,1519;4110033,0309;-199558,2825;4110031,0874;;;;;;
R1-112;'112.BTV.D100000297;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 202-203;'202-203;No;;0,4;0,4;3,60546807;10,63;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335657,355;4082783,0441;447;335655,355;4082786,0439;447;0484398030LB368767116;0484400338LB368767383;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870474,0588;4089266,9925;870471,8712;4089269,8646;-199664,5474;4110039,8264;-199666,3644;4110042,9643;;;;;;
R1-112;'112.BTV.D100000481;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 208-AC1;'208-AC1;Sí;112-02802174;0,4;0,4;1,41421356;1,4140000000000001;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335659,355;4082786,0444;447;335660,355;4082787,0439;447;0484395852LB368767390;0484394752LB368767482;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870475,8688;4089270,1168;870476,8052;4089271,1786;-199662,3495;4110042,7107;-199661,2823;4110043,6505;;;;;;
R1-112;'112.BTV.D100000688;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 167-168;'167-168;No;;0,4;0,4;6,40312424;6,4030000000000005;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335454,355;4082697,0465;438;335449,355;4082693,0467;438;0484623830LB368759015;0484629350LB368758645;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870276,5978;4089168,2719;870271,8527;4089163,9598;-199873,7583;4109966,399;-199879,0308;4109962,7017;;;;;;
R1-112;'112.BTV.D100000405;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 48-49;'48-49;No;;0,4;0,4;5;'7,8100000000000005;Fachada;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335546,355;4082685,0454;457;335549,355;4082681,0451;457;0484520392LB368758094;0484516941LB368757738;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870369,2958;4089162,0686;870372,5457;4089158,2596;-199782,1798;4109948,5125;-199779,4227;4109944,3069;;;;;;
R1-112;'112.BTV.D100000298;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 203-204;'203-204;No;;0,4;0,4;5,8310033500000005;5,831;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335655,355;4082786,0439;447;335650,355;4082789,044;447;0484400338LB368767383;0484406010LB368767645;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870471,8712;4089269,8646;870466,6856;4089272,5481;-199666,3644;4110042,9643;-199671,1923;4110046,2929;;;;;;
R1-112;'112.BTV.D100000624;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 130-AC1;'130-AC1;Sí;112-02804096;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335513,355;4082767,0459;443;335514,355;4082767,0465;443;0484559179LB368765424;0484558058LB368765426;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870331,1553;4089241,941;870332,1547;4089242,0046;-199810,0958;4110032,9115;-199809,092;4110032,8486;;;;;;
R1-112;'112.BTV.D100000020;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 30-AC2;'30-AC2;Sí;112-02802022;0,4;0,4;7,61577311;7,616;Subterránea;Monofásico;;MANGUERA CU(2X16);16;177,8;123,18345343;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335742,355;4082794,0417;435;335739,355;4082787,0419;435;0484302940LB368768255;0484306153LB368767619;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556539;;1;;870558,3139;4089283,3332;870555,7563;4089276,1489;-199578,5349;4110045,4681;-199581,9904;4110038,6328;;;;;;
R1-112;'112.BTV.D100000212;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 133-134;'133-134;No;;0,4;0,4;3,6055512800000002;3,606;Fachada;Monofásico;;MANGUERA CU(2X6);6;114,3;'79,18936292000001;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335571,356;4082909,0466;414;335573,356;4082912,0468;414;0484497210LB368778319;0484495032LB368778593;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870380,1826;4089387,5039;870381,9926;4089390,6281;-199742,8645;4110171,755;-199740,6667;4110174,6394;;;;;;
R1-112;'112.BTV.D100000720;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 186-187;'186-187;No;;0,4;0,4;3,60563448;3,606;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335418,355;4082668,0468;438;335420,355;4082665,047;438;0484663574LB368756339;0484661266LB368756072;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870242,4454;4089137,0245;870244,633;4089134,1524;-199911,7327;4109939,5775;-199909,9157;4109936,4396;;;;;;
R1-112;'112.BTV.D100000307;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 196-213;'196-213;No;;0,4;0,4;85,00069339000001;85,726;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335663,729;4082781,9365;440;335597,355;4082835,0452;440;0484390857LB368767028;0484466447LB368771697;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;4;;870480,4986;4089266,2868;870410,8232;4089315,1849;-199658,2202;4110038,31;-199721,4678;4110095,8292;;;;;;
R1-112;'112.BTV.D100000258;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 159-164;'159-164;No;;0,4;0,4;8,06225775;8,062;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335652,355;4082842,0446;432;335659,355;4082838,0436;432;0484404916LB368772424;0484396978LB368772075;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.APO.SG000399999;;1;;870465,3485;4089325,6416;870472,5959;4089322,0837;-199665,8199;4110099,3625;-199659,0481;4110094,9023;;;;;;
R1-112;'112.BTV.D100000774;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 20-AC1;'20-AC1;Sí;112-02804013;0,4;0,4;1,00000001;1;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335514,355;4082666,0446;446;335515,355;4082666,0453;446;0484555868LB368756326;0484554746LB368756328;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870338,5116;4089141,0656;870339,511;4089141,1292;-199815,5045;4109931,473;-199814,5007;4109931,4102;;;;;;
R1-112;'112.BTV.D100000109;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 80-81;'80-81;No;;0,4;0,4;3,6055512800000002;3,606;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335666,355;4082864,044;424;335669,355;4082862,0437;424;0484389691LB368774430;0484386283LB368774255;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870477,9551;4089348,5085;870481,0791;4089346,6983;-199650,3714;4110120,5544;-199647,4873;4110118,3562;;;;;;
R1-112;'112.BTV.D100000682;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 164-AC1;'164-AC1;Sí;112-02804120;0,4;0,4;3,16227766;6,782;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335473,355;4082710,0476;440;335476,355;4082711,0473;440;0484602803LB368760219;0484599460LB368760314;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870294,7677;4089182,4607;870297,7029;4089183,6486;-199853,8625;4109978,2419;-199850,788;4109979,0548;;;;;;
R1-112;'112.BTV.D100000739;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 195-196;'195-196;No;;0,4;0,4;4,12310563;4,123;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335407,355;4082701,048;434;335406,355;4082705,0485;434;0484676627LB368759293;0484677835LB368759652;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870229,3753;4089169,3127;870228,1242;4089173,2478;-199920,6782;4109973,3992;-199921,4278;4109977,478;;;;;;
R1-112;'112.BTV.D100000071;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 61-62;'61-62;No;;0,4;0,4;1,41421356;1,4140000000000001;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335695,355;4082855,0442;432;335696,355;4082854,0437;432;0484356972LB368773670;0484355829LB368773581;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870507,5036;4089341,3396;870508,5658;4089340,4027;-199621,8356;4110109,6801;-199620,8955;4110108,6124;;;;;;
R1-112;'112.BTV.D100000073;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 62-63;'62-63;No;;0,4;0,4;5,385164809999999;5,745;Fachada;Trifásico;;MANGUERA CU(4X16);16;146,1;101,22104919;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335696,355;4082854,0437;430;335701,355;4082852,0437;430;0484355829LB368773581;0484350178LB368773410;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870508,5658;4089340,4027;870513,6886;4089338,7186;-199620,8955;4110108,6124;-199616,004;4110106,2876;;;;;;
R1-112;'112.BTV.D100000518;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 247-AC1;'247-AC1;Sí;112-02802211;0,4;0,4;1,41414285;1,4140000000000001;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335555,356;4082854,0459;431;335556,356;4082855,0465;431;0484513961LB368773336;0484512862LB368773428;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870367,6544;4089331,5303;870368,5908;4089332,5932;-199762,4157;4110117,5667;-199761,3485;4110118,5075;;;;;;
R1-112;'112.BTV.P200000007;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 267-268;'267-268;No;;0,4;0,4;1;1;Fachada;Trifásico;;RZ 3X95 AL /54.6;95;230;159,3486743;;0,193;0,09000000000000001;1;Simplex;9/2/2015, 0:00:00;;;;Propio;100;335601,356;4082870,0458;426;335602,356;4082870,0465;426;0484462719LB368774858;0484461597LB368774860;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870412,6188;4089350,4156;870413,6181;4089350,4791;-199715,2297;4110130,7052;-199714,226;4110130,6424;;;;;;
R1-112;'112.BTV.D100000490;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 217-AC1;'217-AC1;Sí;112-02802183;0,4;0,4;1,41421356;1,4140000000000001;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335612,355;4082823,0449;440;335613,355;4082824,0456;440;0484449364LB368770642;0484448264LB368770734;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870426,5691;4089304,1361;870427,5056;4089305,1991;-199707,1742;4110082,8321;-199706,1069;4110083,773;;;;;;
R1-112;'112.BTV.D100000671;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 102-158;'102-158;No;;0,4;0,4;29,154810920000003;29,223;Fachada;Trifásico;;RZ 4X95 AL;95;230;159,3486743;;0,193;0,09000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335483,355;4082715,0463;438;335458,355;4082700,0469;438;0484591697LB368760687;0484619409LB368759292;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870304,4468;4089188,0856;870280,4065;4089171,5221;-199843,5082;4109982,6241;-199869,553;4109969,1565;;;;;;
R1-112;'112.BTV.D100000595;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 113-AC1;'113-AC1;Sí;112-02804084;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA CU(2X4);4;43,2;29,92983795;;5,09;0,12000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335472,355;4082753,0473;435;335473,355;4082753,0469;435;0484604857LB368764092;0484603736LB368764093;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870291,062;4089225,3707;870292,0614;4089225,4331;-199852,1362;4110021,4642;-199851,1325;4110021,4002;;;;;;
R1-112;'112.BTV.D100000300;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 205-206;'205-206;No;;0,4;0,4;7,21110255;7,211;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335646,355;4082792,0436;451;335640,355;4082796,0441;451;0484410561LB368767908;0484417377LB368768258;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870462,4993;4089275,2941;870456,2511;4089278,9145;-199675,0167;4110049,5576;-199680,7849;4110053,9538;;;;;;
R1-112;'112.BTV.D100000521;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 252-AC1;'252-AC1;Sí;112-02802214;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335551,356;4082852,0466;431;335551,356;4082851,0466;431;0484518404LB368773149;0484518382LB368773059;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870363,7828;4089329,2805;870363,8457;4089328,2811;-199766,5575;4110115,814;-199766,6209;4110114,8102;;;;;;
R1-112;'112.BTV.D100000160;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 105-AC1;'105-AC1;Sí;112-02802087;0,4;0,4;1,42130222;1,4140000000000001;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335656,356;4082880,0453;424;335657,356;4082881,0448;424;0484401252LB368775854;0484400152LB368775946;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870466,9551;4089363,8705;870467,8916;4089364,9324;-199659,3915;4110137,2497;-199658,3243;4110138,1894;;;;;;
R1-112;'112.BTV.D100000153;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 101-102;'101-102;No;;0,4;0,4;3,16545415;3,162;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335643,356;4082887,0456;419;335646,356;4082886,0454;419;0484415983LB368776463;0484412597LB368776378;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870453,5227;4089370,0483;870456,5837;4089369,2375;-199671,9951;4110145,1013;-199669,0475;4110143,9069;;;;;;
R1-112;'112.BTV.D100000314;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 213-220;'213-220;No;;0,4;0,4;7,80385161;'7,8100000000000005;Aérea;Trifásico;;RV 3X50 /50;50;155;107,38715007;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335597,355;4082835,0452;440;335591,355;4082830,0446;440;0484466447LB368771697;0484473068LB368771236;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;112.APO.SG000399952;1;;870410,8232;4089315,1849;870405,1417;4089309,8097;-199721,4678;4110095,8292;-199727,8074;4110091,191;;;;;;
R1-112;'112.BTV.D100000021;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 30-31;'30-31;No;;0,4;0,4;15,62049935;15,652;Subterránea;Trifásico;;RV 4X50 AL;50;120;83,13843876;;0,387;0,1;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335742,355;4082794,0417;436;335732,355;4082782,0416;436;0484302940LB368768255;0484313895LB368767157;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556539;112.ARQ.SG000556531;1;;870558,3139;4089283,3332;870549,0753;4089270,7111;-199578,5349;4110045,4681;-199589,3337;4110034,0585;;;;;;
R1-112;'112.BTV.D100000540;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 79-84;'79-84;No;;0,4;0,4;3,6055512800000002;3,606;Aérea;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335501,355;4082675,0464;446;335504,355;4082677,0461;446;0484570642LB368757114;0484567321LB368757300;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;112.APO.SG000399841;1;;870324,9531;4089149,2435;870327,8254;4089151,4308;-199827,9811;4109941,3334;-199824,8431;4109943,1501;;;;;;
R1-112;'112.BTV.D100000457;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 178-AC1;'178-AC1;Sí;112-02802150;0,4;0,4;1;1;Fachada;Monofásico;;MANGUERA (2X6);6;55;38,10511777;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335610,356;4082872,0462;426;335610,356;4082873,0462;426;0484452668LB368775054;0484452690LB368775144;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870421,4873;4089352,9811;870421,4243;4089353,9805;-199706,0694;4110132,1416;-199706,006;4110133,1453;;;;;;
R1-112;'112.BTV.D100000185;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 117-118;'117-118;No;;0,4;0,4;4,47218068;4,472;Fachada;Monofásico;;MANGUERA CU(2X16);16;177,8;123,18345343;;1,22;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335593,356;4082928,0466;415;335589,356;4082930,0463;415;0484472948LB368780070;0484477477LB368780243;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870400,9731;4089407,8767;870396,8497;4089409,6233;-199719,5768;4110189,4285;-199723,4646;4110191,6895;;;;;;
R1-112;'112.BTV.D100000685;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 159-166;'159-166;No;;0,4;0,4;5,83095189;5,831;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335457,355;4082699,0474;438;335452,355;4082696,0475;438;0484620508LB368759200;0484626051LB368758921;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870279,47;4089170,4603;870274,6619;4089167,1476;-199870,6201;4109968,2167;-199875,8291;4109965,5232;;;;;;
R1-112;'112.BTV.D200000316;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 7-8;'7-8;No;;0,4;0,4;22,8035085;22,804;Subterránea;Trifásico;;RV 3X240 AL /150;240;320;221,70250337;;0,125;0,08;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335653,355;4082731,0433;460;335667,355;4082749,0427;460;0484401389LB368762424;0484386078LB368764070;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556479;112.ARQ.SG000556486;1;;870473,3342;4089214,7723;870486,1927;4089233,6416;-199671,8636;4109987,8873;-199656,6691;4110005,0644;;;;;;
R1-112;'112.BTV.D100000430;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 72-74;'72-74;No;;0,4;0,4;4,12312988;4,123;Fachada;Trifásico;;MANGUERA CU(4X6);6;83,8;58,05834307;;3,39;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335494,355;4082725,0456;440;335498,355;4082726,046;440;0484579577LB368761607;0484575113LB368761704;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.APO.SG000399831;;1;;870314,8107;4089198,771;870318,7452;4089200,0225;-199831,8326;4109991,9621;-199827,7543;4109992,7122;;;;;;
R1-112;'112.BTV.D100000008;;'112.LBT.D200000129;LP36 CANTARRA,PRADO, AND NAVARRE * V: 25-26;'25-26;No;;0,4;0,4;16,40128044;16,523;Subterránea;Trifásico;;RV 4X95 AL;95;210;124,70765813999999;;0,33;0,09000000000000001;1;Simplex;9/2/1995, 0:00:00;;;;Propio;100;335742,355;4082831,0431;430;335755,355;4082821,0417;430;0484303741LB368771589;0484288945LB368770711;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;112.ARQ.SG000556540;112.ARQ.SG000556553;1;;870555,985;4089320,3116;870569,6064;4089311,1346;-199576,1857;4110082,6062;-199563,7726;4110071,7425;;;;;;
R1-112;'112.BTV.D100000737;;'112.LBT.D100000002;LP45 DEPÓSITO AGUA * Vano: 194-195;'194-195;No;;0,4;0,4;13,92838828;13,928;Fachada;Trifásico;;MANGUERA CU(4X10);10;111,8;77,45731211;;1,9500000000000002;0,11;1;Simplex;9/2/1995, 0:00:00;;;;Propio;90;335412,355;4082688,0477;434;335407,355;4082701,048;434;0484670737LB368758131;0484676627LB368759293;;Andalucía;Andalucía;Ardales;Málaga;;No;;;;;;1;;870235,1904;4089156,6352;870229,3753;4089169,3127;-199916,485;4109960,0333;-199920,6782;4109973,3992;;;;;;
