R1;CUPS;Número (ID5);Póliza;Autoconsumo;CAU;Es servicios auxiliares;Coordenada X;Coordenada Y;Coordenada Z;Nudo;Provincia;Municipio;Parroquia/población;CT AA conectividad;Línea;Tramo;Fase;Tensión alimentación (kV);Tipo instalación (conexión);Pot. contratada (kW);Pot. máxima;Potencia instalada (adscrita) (kW);Tarifa;Tipo equipo medida;Fecha de instalación equipo de medida;Código CNAE;Casa cerrada;Fecha alta contrato;Fecha baja contrato;Observaciones;Coordenada X Z29;Coordenada Y Z29;Coordenada X Z31;Coordenada Y Z31;Sustituye a;Sustituido por;Inspección;CT AA manual;Excluido conectividad;Digitalizar;infra_id
R1-112;ES0157000040500354GQ0F;KAM0020239332;40500354;;;;335565,356;4082887,05;419;0484503462LB368776327;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000221;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;03/11/2022 14:15;;;870375,571;4089365,143;-199750,283;4110150,058;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040500355GV0F;KAM0027594432;40500355;;;;335551,356;4082867,05;425;0484518729LB368774500;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000527;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870362,838;4089344,275;-199765,605;4110130,873;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040500357GL0F;KAM0027612787;40500357;;;;335552,356;4082886,05;424,083;0484518020LB368776214;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000239;;0,23;Fachada;2,3;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870362,642;4089363,326;-199763,395;4110149,88;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040500359GK0F;KAM0027614351;40500359;;;;335554,356;4082894,05;419;0484515950LB368776938;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000237;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;04/06/2022 21:02;;;870364,137;4089371,447;-199760,88;4110157,782;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040500361MT0F;KAM0027614065;40500361;;;;335558,356;4082903,05;417,922;0484511659LB368777756;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000233;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;20/12/2021 13:44;;;870367,568;4089380,693;-199756,293;4110166,562;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040500362MR0F;KAM0027614159;40500362;;;;335562,356;4082911,05;414;0484507347LB368778484;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000226;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870371,062;4089388,94;-199751,771;4110174,337;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040500992DX;KAM0027612215;40500992;;;;335702,355;4082853,04;430;0484349078LB368773502;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000074;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870514,625;4089339,777;-199614,937;4110107,224;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501005XT;KAM0020239498;40501005;;;;335669,355;4082861,04;424;0484386261LB368774165;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000111;;0,23;Aérea;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870481,142;4089345,695;-199647,551;4110117,349;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501046BH0F;KAM0019878344;40501046;;;;335563,356;4082911,05;414;0484506225LB368778486;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000228;;0,23;Fachada;5,75;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870372,062;4089389,003;-199750,767;4110174,274;;;;CT28 DEPOSITO AGUA;;;
R1-112;ES0157000040501093JL0F;KAM0027594566;40501093;;;;335594,356;4082929,05;412,513;0484471848LB368780161;Málaga;Ardales;;;112.LBT.D200000129;112.BTV.D100000184;;0,23;Fachada;3,45;;;2.0TD;SMT;;9820;0;31/05/2021 21:58;;;870401,909;4089408,943;-199718,509;4110190,372;;;;CT28 DEPOSITO AGUA;;;
